,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
490,579,PT05M31.00S,2021-07-15T03:18:20.0Z,4,REGULAR,jumpball,recovered,[],0,,,1610612749,90,95,2021-07-15T03:19:14Z,5700000,,,0,,Jump Ball G. Antetokounmpo vs. J. Crowder: Tip to Team (MIL),"[203507, 203109]",1610612749,MIL,heldball,Team (MIL),,,,Antetokounmpo,203507,Crowder,203109,,,,,,,,,,,,,,,,,,,,,
491,582,PT05M29.00S,2021-07-15T03:18:24.6Z,4,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,90,95,2021-07-15T03:19:18Z,5730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,583,PT05M23.00S,2021-07-15T03:18:29.5Z,4,REGULAR,3pt,Jump Shot,[],203114,30.699737187910642,71.88265931,1610612749,90,95,2021-07-15T03:19:49Z,5740000,-109,236,1,left,MISS K. Middleton 26' 3PT,[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
493,584,PT05M22.00S,2021-07-15T03:18:30.5Z,4,REGULAR,rebound,offensive,[],1626192,,,1610612749,90,95,2021-07-15T03:19:49Z,5750000,,,0,,P. Connaughton REBOUND (Off:3 Def:6),[1626192],1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,583,9,6,3,,,,,,,,,,,
494,585,PT05M22.00S,2021-07-15T03:18:34.2Z,4,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626192,5.590000152587891,50,1610612749,92,95,2021-07-15T03:19:55Z,5760000,0,0,1,left,P. Connaughton tip Layup (8 PTS),[1626192],1610612749,MIL,tip,,,Connaughton,P. Connaughton,,,,,0,Made,8,,,,,,,,,,,,,,,,,,
495,586,PT04M58.00S,2021-07-15T03:18:53.0Z,4,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,89.35611038107753,46.35033700980392,1610612756,92,95,2021-07-15T03:18:59Z,5770000,-18,48,1,right,MISS D. Ayton Hook,[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,5.1,Missed,,,,,,,,,,,,,,,,,,,
496,587,PT04M57.00S,2021-07-15T03:18:54.0Z,4,REGULAR,rebound,defensive,[],1626171,,,1610612749,92,95,2021-07-15T03:20:46Z,5780000,,,0,,B. Portis REBOUND (Off:1 Def:3),[1626171],1610612749,MIL,,,,Portis,B. Portis,,,,,,,,,,,586,4,3,1,,,,,,,,,,,
497,588,PT04M45.00S,2021-07-15T03:19:08.4Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,10.59461235,48.353247549019606,1610612749,92,95,2021-07-15T03:19:13Z,5790000,8,47,1,left,MISS B. Portis driving Layup - blocked,"[1626171, 1629028]",1610612749,MIL,driving,,,Portis,B. Portis,,,,,4.78,Missed,,,,,,,,,,,,,,,,,Ayton,1629028,
498,589,PT04M45.00S,2021-07-15T03:19:08.4Z,4,REGULAR,block,,[],1629028,,,1610612749,92,95,2021-07-15T03:19:11Z,5800000,,,0,,D. Ayton BLOCK (3 BLK),[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
499,590,PT04M45.00S,2021-07-15T03:19:08.4Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612749,92,95,2021-07-15T03:19:13Z,5810000,,,0,,TEAM offensive REBOUND,[],1610612749,MIL,,,,,,,,,,,,,,,,588,,,,,,,,,,,,,,
500,591,PT04M45.00S,2021-07-15T03:19:15.4Z,4,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,92,95,2021-07-15T03:19:15Z,5820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,592,PT04M40.00S,2021-07-15T03:19:29.1Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,8.278580814717477,51.07230392156863,1610612749,92,95,2021-07-15T03:22:13Z,5830000,-5,25,1,left,MISS G. Antetokounmpo Layup,[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,2.59,Missed,,,,,,,,,,,,,,,,,,,
502,593,PT04M39.00S,2021-07-15T03:19:30.1Z,4,REGULAR,rebound,offensive,[],1626171,,,1610612749,92,95,2021-07-15T03:22:13Z,5840000,,,0,,B. Portis REBOUND (Off:2 Def:3),[1626171],1610612749,MIL,,,,Portis,B. Portis,,,,,,,,,,,592,5,3,2,,,,,,,,,,,
503,594,PT04M39.00S,2021-07-15T03:19:35.7Z,4,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626171,5.590000152587891,50,1610612749,92,95,2021-07-15T03:22:27Z,5850000,0,0,1,left,MISS B. Portis tip Layup,[1626171],1610612749,MIL,tip,,,Portis,B. Portis,,,,,0,Missed,,,,,,,,,,,,,,,,,,,
504,595,PT04M37.00S,2021-07-15T03:19:37.7Z,4,REGULAR,rebound,defensive,[],1629028,,,1610612756,92,95,2021-07-15T03:22:27Z,5860000,,,0,,D. Ayton REBOUND (Off:1 Def:15),[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,594,16,15,1,,,,,,,,,,,
505,596,PT04M14.00S,2021-07-15T03:19:52.1Z,4,REGULAR,2pt,Jump Shot,[],1626164,78.53153745072274,74.08854166666666,1610612756,92,95,2021-07-15T03:23:07Z,5870000,120,149,1,right,MISS D. Booker 19' fadeaway Shot,[1626164],1610612756,PHX,fadeaway,,,Booker,D. Booker,,,,,19.18,Missed,,,,,,,,,,,,,,,,,,,
506,597,PT04M13.00S,2021-07-15T03:19:53.1Z,4,REGULAR,rebound,defensive,[],203507,,,1610612749,92,95,2021-07-15T03:23:07Z,5880000,,,0,,G. Antetokounmpo REBOUND (Off:4 Def:8),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,596,12,8,4,,,,,,,,,,,
507,598,PT04M08.00S,2021-07-15T03:19:59.2Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],201950,29.25427069645204,20.902267156862745,1610612749,92,95,2021-07-15T03:23:39Z,5890000,145,222,1,left,MISS J. Holiday 26' running 3PT,[201950],1610612749,MIL,running,,,Holiday,J. Holiday,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,,
508,599,PT04M06.00S,2021-07-15T03:20:01.2Z,4,REGULAR,rebound,defensive,[],1629028,,,1610612756,92,95,2021-07-15T03:23:39Z,5900000,,,0,,D. Ayton REBOUND (Off:1 Def:16),[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,598,17,16,1,,,,,,,,,,,
509,600,PT03M44.00S,2021-07-15T03:20:20.7Z,4,REGULAR,turnover,bad pass,[],101108,,,1610612756,92,95,2021-07-15T03:20:27Z,5910000,,,0,,C. Paul bad pass TURNOVER (4 TO),"[101108, 203507]",1610612756,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,4,Antetokounmpo,203507,,,,,,,,
510,601,PT03M44.00S,2021-07-15T03:20:20.7Z,4,REGULAR,steal,,[],203507,,,1610612749,92,95,2021-07-15T03:20:23Z,5920000,,,0,,G. Antetokounmpo STEAL (3 STL),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
511,602,PT03M41.00S,2021-07-15T03:20:26.4Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,9.592641261498029,43.65425857843137,1610612749,92,95,2021-07-15T03:24:52Z,5930000,32,38,1,left,MISS J. Holiday running Layup - blocked,"[201950, 1626164]",1610612749,MIL,running,,,Holiday,J. Holiday,,,,,4.93,Missed,,,,,,,,,,,,,,,,,Booker,1626164,
512,603,PT03M41.00S,2021-07-15T03:20:26.4Z,4,REGULAR,block,,[],1626164,,,1610612749,92,95,2021-07-15T03:20:29Z,5940000,,,0,,D. Booker BLOCK (1 BLK),[1626164],1610612756,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
513,604,PT03M40.00S,2021-07-15T03:20:27.4Z,4,REGULAR,rebound,offensive,[],203507,,,1610612749,92,95,2021-07-15T03:24:52Z,5950000,,,0,,G. Antetokounmpo REBOUND (Off:5 Def:8),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,602,13,8,5,,,,,,,,,,,
514,605,PT03M40.00S,2021-07-15T03:20:32.5Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203507,9.280551905387648,49.57873774509804,1610612749,94,95,2021-07-15T03:25:01Z,5960000,2,35,1,left,G. Antetokounmpo tip Layup (26 PTS),[203507],1610612749,MIL,tip,,,Antetokounmpo,G. Antetokounmpo,,,,,3.48,Made,26,,,,,,,,,,,,,,,,,,
515,606,PT03M30.00S,2021-07-15T03:20:40.0Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,94,95,2021-07-15T03:20:40Z,5970000,,,0,,PHX Timeout,[],1610612756,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,607,PT03M30.00S,2021-07-15T03:23:38.3Z,4,REGULAR,substitution,out,[],1626171,,,1610612756,94,95,2021-07-15T03:23:59Z,5980000,,,0,,SUB out: B. Portis,[1626171],1610612749,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
517,608,PT03M30.00S,2021-07-15T03:23:38.3Z,4,REGULAR,substitution,in,[],200782,,,1610612756,94,95,2021-07-15T03:23:59Z,5990000,,,0,,SUB in: P. Tucker,[200782],1610612749,MIL,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
518,609,PT03M18.00S,2021-07-15T03:24:36.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],101108,90.53876478318003,47.55667892156863,1610612756,94,95,2021-07-15T03:27:18Z,6000000,-12,36,1,right,MISS C. Paul driving Layup - blocked,"[101108, 203507]",1610612756,PHX,driving,,,Paul,C. Paul,,,,,3.84,Missed,,,,,,,,,,,,,,,,,Antetokounmpo,203507,
519,610,PT03M18.00S,2021-07-15T03:24:36.3Z,4,REGULAR,block,,[],203507,,,1610612756,94,95,2021-07-15T03:24:39Z,6010000,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
520,611,PT03M17.00S,2021-07-15T03:24:37.3Z,4,REGULAR,rebound,defensive,[],203114,,,1610612749,94,95,2021-07-15T03:27:18Z,6020000,,,0,,K. Middleton REBOUND (Off:0 Def:6),[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,609,6,6,0,,,,,,,,,,,
521,612,PT03M08.00S,2021-07-15T03:24:44.6Z,4,REGULAR,3pt,Jump Shot,['fastbreak'],1626192,9.280551905387648,3.010110294117647,1610612749,97,95,2021-07-15T03:24:49Z,6030000,235,35,1,left,P. Connaughton 3PT running (11 PTS) (G. Antetokounmpo 8 AST),"[1626192, 203507]",1610612749,MIL,running,,,Connaughton,P. Connaughton,,,,,23.74,Made,11,G. Antetokounmpo,203507,8,,,,,,,,,,,,,,,
522,614,PT02M52.00S,2021-07-15T03:25:00.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,91.80354796320631,64.28462009803921,1610612756,97,97,2021-07-15T03:25:09Z,6050000,71,25,1,right,D. Booker 7' pullup bank Jump Shot (40 PTS),[1626164],1610612756,PHX,pullup bank,,,Booker,D. Booker,,,,,7.55,Made,40,,,,,,,,,,,,,,,,,,
523,615,PT02M30.00S,2021-07-15T03:25:23.8Z,4,REGULAR,2pt,Jump Shot,[],201950,23.340998685939553,66.24540441176471,1610612749,97,97,2021-07-15T03:25:29Z,6060000,-81,167,1,left,MISS J. Holiday 18' pullup Shot,[201950],1610612749,MIL,pullup,,,Holiday,J. Holiday,,,,,18.56,Missed,,,,,,,,,,,,,,,,,,,
524,616,PT02M30.00S,2021-07-15T03:25:23.8Z,4,REGULAR,rebound,defensive,[],203109,,,1610612756,97,97,2021-07-15T03:25:29Z,6070000,,,0,,J. Crowder REBOUND (Off:1 Def:7),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,615,8,7,1,,,,,,,,,,,
525,617,PT02M30.00S,2021-07-15T03:25:31.0Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203507,,,1610612756,97,97,2021-07-15T03:26:10Z,6080000,,,0,,G. Antetokounmpo personal FOUL (3 PF) (Crowder 2 FT),"[203507, 203109]",1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,2004,3,0,Crowder,203109,,,
526,619,PT02M30.00S,2021-07-15T03:26:11.9Z,4,REGULAR,freethrow,1 of 2,[],203109,,,1610612756,97,98,2021-07-15T03:26:11Z,6100000,,,0,,J. Crowder Free Throw 1 of 2 (14 PTS),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,Made,14,,,,,,,,,,,,,,,,,,
527,620,PT02M30.00S,2021-07-15T03:26:13.0Z,4,REGULAR,substitution,out,[],1629661,,,1610612756,97,98,2021-07-15T03:26:17Z,6110000,,,0,,SUB out: C. Johnson,[1629661],1610612756,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
528,621,PT02M30.00S,2021-07-15T03:26:13.0Z,4,REGULAR,substitution,in,[],1628969,,,1610612756,97,98,2021-07-15T03:26:17Z,6120000,,,0,,SUB in: M. Bridges,[1628969],1610612756,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
529,622,PT02M30.00S,2021-07-15T03:26:35.4Z,4,REGULAR,freethrow,2 of 2,[],203109,,,1610612756,97,99,2021-07-15T03:26:35Z,6130000,,,0,,J. Crowder Free Throw 2 of 2 (15 PTS),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,Made,15,,,,,,,,,,,,,,,,,,
530,623,PT02M19.00S,2021-07-15T03:26:53.1Z,4,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,97,99,2021-07-15T03:26:53Z,6140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,624,PT02M15.00S,2021-07-15T03:27:09.7Z,4,REGULAR,foul,personal,[],203109,,,1610612749,97,99,2021-07-15T03:27:20Z,6150000,,,0,,J. Crowder personal FOUL (5 PF),"[203109, 203507]",1610612756,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,2004,5,0,Antetokounmpo,203507,,,
532,626,PT02M07.00S,2021-07-15T03:27:38.5Z,4,REGULAR,2pt,Jump Shot,[],203114,14.586070959264127,25.58210784313725,1610612749,99,99,2021-07-15T03:27:43Z,6170000,122,85,1,left,K. Middleton 14' fadeaway Jump Shot (32 PTS),[203114],1610612749,MIL,fadeaway,,,Middleton,K. Middleton,,,,,14.85,Made,32,,,,,,,,,,,,,,,,,,
533,627,PT01M42.00S,2021-07-15T03:28:05.6Z,4,REGULAR,2pt,Jump Shot,[],1626164,77.48028909,43.69638480392157,1610612756,99,99,2021-07-15T03:30:19Z,6180000,-32,159,1,right,MISS D. Booker 16' pullup Shot,[1626164],1610612756,PHX,pullup,,,Booker,D. Booker,,,,,16.23,Missed,,,,,,,,,,,,,,,,,,,
534,628,PT01M41.00S,2021-07-15T03:28:06.6Z,4,REGULAR,rebound,defensive,[],201950,,,1610612749,99,99,2021-07-15T03:30:19Z,6190000,,,0,,J. Holiday REBOUND (Off:2 Def:3),[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,627,5,3,2,,,,,,,,,,,
535,629,PT01M36.00S,2021-07-15T03:28:14.9Z,4,REGULAR,foul,personal,[],1628969,,,1610612749,99,99,2021-07-15T03:28:24Z,6200000,,,0,,M. Bridges personal FOUL (2 PF),"[1628969, 203507]",1610612756,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,1148,2,0,Antetokounmpo,203507,,,
536,631,PT01M28.00S,2021-07-15T03:28:39.6Z,4,REGULAR,2pt,Jump Shot,[],203114,25.706307490144546,46.392463235294116,1610612749,101,99,2021-07-15T03:28:43Z,6220000,18,189,1,left,K. Middleton 19' pullup Jump Shot (34 PTS),[203114],1610612749,MIL,pullup,,,Middleton,K. Middleton,,,,,19,Made,34,,,,,,,,,,,,,,,,,,
537,632,PT01M14.00S,2021-07-15T03:28:57.1Z,4,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,89.83245729303549,45.166973039215684,1610612756,101,99,2021-07-15T03:29:02Z,6230000,-24,43,1,right,MISS D. Ayton alley-oop DUNK - blocked,"[1629028, 203507]",1610612756,PHX,alley-oop,,,Ayton,D. Ayton,,,,,4.94,Missed,,,,,,,,,,,,,,,,,Antetokounmpo,203507,
538,633,PT01M14.00S,2021-07-15T03:28:57.1Z,4,REGULAR,block,,[],203507,,,1610612756,101,99,2021-07-15T03:29:00Z,6240000,,,0,,G. Antetokounmpo BLOCK (2 BLK),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
539,634,PT01M13.00S,2021-07-15T03:28:58.1Z,4,REGULAR,rebound,defensive,[],200782,,,1610612749,101,99,2021-07-15T03:31:23Z,6250000,,,0,,P. Tucker REBOUND (Off:3 Def:2),[200782],1610612749,MIL,,,,Tucker,P. Tucker,,,,,,,,,,,632,5,2,3,,,,,,,,,,,
540,635,PT00M52.40S,2021-07-15T03:29:19.1Z,4,REGULAR,2pt,Jump Shot,[],203114,21.23850197109067,32.176776960784316,1610612749,101,99,2021-07-15T03:29:23Z,6260000,89,147,1,left,MISS K. Middleton 17' pullup Shot,[203114],1610612749,MIL,pullup,,,Middleton,K. Middleton,,,,,17.2,Missed,,,,,,,,,,,,,,,,,,,
541,636,PT00M50.70S,2021-07-15T03:29:20.9Z,4,REGULAR,rebound,offensive,[],201950,,,1610612749,101,99,2021-07-15T03:29:20Z,6270000,,,0,,J. Holiday REBOUND (Off:3 Def:3),[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,635,6,3,3,,,,,,,,,,,
542,637,PT00M41.80S,2021-07-15T03:29:30.8Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],203114,22.421156373193167,66.24540441176471,1610612749,101,99,2021-07-15T03:32:17Z,6280000,-81,158,1,left,MISS K. Middleton 17' pullup Shot,[203114],1610612749,MIL,pullup,,,Middleton,K. Middleton,,,,,17.79,Missed,,,,,,,,,,,,,,,,,,,
543,638,PT00M40.00S,2021-07-15T03:29:32.6Z,4,REGULAR,rebound,defensive,[],1628969,,,1610612756,101,99,2021-07-15T03:32:17Z,6290000,,,0,,M. Bridges REBOUND (Off:1 Def:4),[1628969],1610612756,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,637,5,4,1,,,,,,,,,,,
544,639,PT00M32.10S,2021-07-15T03:29:39.5Z,4,REGULAR,turnover,lost ball,[],101108,,,1610612756,101,99,2021-07-15T03:29:46Z,6300000,,,0,,C. Paul lost ball TURNOVER (5 TO),"[101108, 201950]",1610612756,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,5,Holiday,201950,,,,,,,,
545,640,PT00M32.10S,2021-07-15T03:29:39.5Z,4,REGULAR,steal,,[],201950,,,1610612749,101,99,2021-07-15T03:31:00Z,6310000,,,0,,J. Holiday STEAL (3 STL),[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
546,641,PT00M27.20S,2021-07-15T03:29:45.6Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203114,8.229303547963205,50.55912990196079,1610612749,103,99,2021-07-15T03:31:23Z,6320000,-3,25,1,left,K. Middleton running Layup (36 PTS) (J. Holiday 7 AST),"[203114, 201950]",1610612749,MIL,running,,,Middleton,K. Middleton,,,,,2.51,Made,36,J. Holiday,201950,7,,,,,,,,,,,,,,,
547,643,PT00M27.20S,2021-07-15T03:29:55.7Z,4,REGULAR,timeout,full,['team'],0,,,1610612756,103,99,2021-07-15T03:29:55Z,6340000,,,0,,PHX Timeout,[],1610612756,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,644,PT00M27.20S,2021-07-15T03:31:03.1Z,4,REGULAR,substitution,out,[],1628969,,,1610612756,103,99,2021-07-15T03:31:22Z,6350000,,,0,,SUB out: M. Bridges,[1628969],1610612756,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
549,645,PT00M27.20S,2021-07-15T03:31:03.1Z,4,REGULAR,substitution,in,[],1629661,,,1610612756,103,99,2021-07-15T03:31:22Z,6360000,,,0,,SUB in: C. Johnson,[1629661],1610612756,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
550,646,PT00M24.10S,2021-07-15T03:31:36.9Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,89.56964520367937,61.588541666666664,1610612756,103,99,2021-07-15T03:33:34Z,6370000,58,46,1,right,MISS D. Booker 7' driving Layup,[1626164],1610612756,PHX,driving,,,Booker,D. Booker,,,,,7.36,Missed,,,,,,,,,,,,,,,,,,,
551,647,PT00M23.30S,2021-07-15T03:31:37.7Z,4,REGULAR,rebound,defensive,[],203507,,,1610612749,103,99,2021-07-15T03:33:34Z,6380000,,,0,,G. Antetokounmpo REBOUND (Off:5 Def:9),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,646,14,9,5,,,,,,,,,,,
552,648,PT00M20.80S,2021-07-15T03:31:43.2Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629661,,,1610612749,103,99,2021-07-15T03:32:30Z,6390000,,,0,,C. Johnson take personal FOUL (2 PF) (Middleton 2 FT),"[1629661, 203114]",1610612756,PHX,take,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,1148,2,0,Middleton,203114,,,
553,650,PT00M20.80S,2021-07-15T03:32:32.2Z,4,REGULAR,freethrow,1 of 2,[],203114,,,1610612749,104,99,2021-07-15T03:32:32Z,6410000,,,0,,K. Middleton Free Throw 1 of 2 (37 PTS),[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,Made,37,,,,,,,,,,,,,,,,,,
554,651,PT00M20.80S,2021-07-15T03:32:52.4Z,4,REGULAR,freethrow,2 of 2,[],203114,,,1610612749,105,99,2021-07-15T03:32:52Z,6420000,,,0,,K. Middleton Free Throw 2 of 2 (38 PTS),[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,Made,38,,,,,,,,,,,,,,,,,,
555,652,PT00M14.70S,2021-07-15T03:33:00.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,91.80354796320631,51.294424019607845,1610612756,105,101,2021-07-15T03:33:04Z,6430000,6,25,1,right,D. Booker driving Layup (42 PTS),[1626164],1610612756,PHX,driving,,,Booker,D. Booker,,,,,2.53,Made,42,,,,,,,,,,,,,,,,,,
556,653,PT00M13.70S,2021-07-15T03:33:08.1Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629661,,,1610612749,105,101,2021-07-15T03:33:21Z,6440000,,,0,,C. Johnson personal FOUL (3 PF) (Middleton 2 FT),"[1629661, 203114]",1610612756,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,2004,3,0,Middleton,203114,,,
557,655,PT00M13.70S,2021-07-15T03:33:45.8Z,4,REGULAR,freethrow,1 of 2,[],203114,,,1610612749,106,101,2021-07-15T03:33:45Z,6460000,,,0,,K. Middleton Free Throw 1 of 2 (39 PTS),[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,Made,39,,,,,,,,,,,,,,,,,,
558,656,PT00M13.70S,2021-07-15T03:33:58.7Z,4,REGULAR,freethrow,2 of 2,[],203114,,,1610612749,107,101,2021-07-15T03:33:58Z,6470000,,,0,,K. Middleton Free Throw 2 of 2 (40 PTS),[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,Made,40,,,,,,,,,,,,,,,,,,
559,657,PT00M07.80S,2021-07-15T03:34:06.9Z,4,REGULAR,3pt,Jump Shot,[],1626164,60.69932654402103,45.80269607843137,1610612756,107,101,2021-07-15T03:34:18Z,6480000,-21,317,1,right,MISS D. Booker 31' pullup 3PT,[1626164],1610612756,PHX,pullup,,,Booker,D. Booker,,,,,31.76,Missed,,,,,,,,,,,,,,,,,,,
560,658,PT00M07.30S,2021-07-15T03:34:07.4Z,4,REGULAR,rebound,defensive,[],201950,,,1610612749,107,101,2021-07-15T03:34:15Z,6490000,,,0,,J. Holiday REBOUND (Off:3 Def:4),[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,657,7,4,3,,,,,,,,,,,
561,659,PT00M07.30S,2021-07-15T03:34:10.6Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",101108,,,1610612749,107,101,2021-07-15T03:34:44Z,6500000,,,0,,C. Paul take personal FOUL (4 PF) (Holiday 2 FT),"[101108, 201950]",1610612756,PHX,take,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,2004,4,0,Holiday,201950,,,
562,661,PT00M07.30S,2021-07-15T03:34:49.1Z,4,REGULAR,freethrow,1 of 2,[],201950,,,1610612749,108,101,2021-07-15T03:34:49Z,6520000,,,0,,J. Holiday Free Throw 1 of 2 (12 PTS),[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,,Made,12,,,,,,,,,,,,,,,,,,
563,662,PT00M07.30S,2021-07-15T03:36:02.6Z,4,REGULAR,freethrow,2 of 2,[],201950,,,1610612749,109,101,2021-07-15T03:36:02Z,6530000,,,0,,J. Holiday Free Throw 2 of 2 (13 PTS),[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,,Made,13,,,,,,,,,,,,,,,,,,
564,663,PT00M02.20S,2021-07-15T03:36:09.3Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],101108,90.62089356110381,56.68658088235294,1610612756,109,103,2021-07-15T03:37:00Z,6540000,33,36,1,right,C. Paul running Layup (10 PTS),[101108],1610612756,PHX,running,,,Paul,C. Paul,,,,,4.89,Made,10,,,,,,,,,,,,,,,,,,
565,664,PT00M00.00S,2021-07-15T03:36:27.2Z,4,REGULAR,period,end,[],0,,,1610612749,109,103,2021-07-15T03:36:27Z,6550000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,665,PT00M00.00S,2021-07-15T03:36:32.3Z,4,REGULAR,game,end,[],0,,,0,109,103,2021-07-15T03:36:32Z,6560000,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
