,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
438,514,PT09M16.00S,2021-07-15T03:03:11.9Z,4,REGULAR,3pt,Jump Shot,[],200782,7.440867279894875,4.235600490196079,1610612749,81,87,2021-07-15T03:03:17Z,5050000,229,17,1,left,MISS P. Tucker 3PT,[200782],1610612749,MIL,,,,Tucker,P. Tucker,,,,,22.95,Missed,,,,,,,,,,,,,,,,,,,
439,515,PT09M15.00S,2021-07-15T03:03:12.9Z,4,REGULAR,rebound,offensive,[],201950,,,1610612749,81,87,2021-07-15T03:03:17Z,5060000,,,0,,J. Holiday REBOUND (Off:2 Def:2),[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,514,4,2,2,,,,,,,,,,,
440,516,PT09M15.00S,2021-07-15T03:03:14.8Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201950,6.783837056504599,50.80422794117647,1610612749,81,87,2021-07-15T03:03:21Z,5070000,-4,11,1,left,MISS J. Holiday Layup,[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,1.2,Missed,,,,,,,,,,,,,,,,,,,
441,517,PT09M15.00S,2021-07-15T03:03:14.8Z,4,REGULAR,rebound,defensive,[],1629028,,,1610612756,81,87,2021-07-15T03:03:21Z,5080000,,,0,,D. Ayton REBOUND (Off:0 Def:14),[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,516,14,14,0,,,,,,,,,,,
442,518,PT09M15.00S,2021-07-15T03:03:26.5Z,4,REGULAR,foul,personal,[],203507,,,1610612756,81,87,2021-07-15T03:06:46Z,5090000,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 1629028]",1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,1148,1,0,Ayton,1629028,,,
443,522,PT09M05.00S,2021-07-15T03:03:52.1Z,4,REGULAR,turnover,out-of-bounds,[],1629661,,,1610612756,81,87,2021-07-15T03:03:58Z,5130000,,,0,,C. Johnson lost ball out-of-bounds TURNOVER (2 TO),[1629661],1610612756,PHX,lost ball,,,Johnson,C. Johnson,,,,,,,,,,,,,,,2,,,2714,,,,,,,
444,523,PT08M57.00S,2021-07-15T03:04:05.2Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],203114,29.64848883,66.98069852941177,1610612749,81,87,2021-07-15T03:04:09Z,5140000,-85,226,1,left,MISS K. Middleton 24' 3PT,[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,24.16,Missed,,,,,,,,,,,,,,,,,,,
445,524,PT08M55.00S,2021-07-15T03:04:07.4Z,4,REGULAR,rebound,offensive,[],1626192,,,1610612749,81,87,2021-07-15T03:04:07Z,5150000,,,0,,P. Connaughton REBOUND (Off:1 Def:6),[1626192],1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,523,7,6,1,,,,,,,,,,,
446,525,PT08M51.00S,2021-07-15T03:04:14.4Z,4,REGULAR,foul,personal,['2freethrow'],203109,,,1610612749,81,87,2021-07-15T03:04:48Z,5160000,,,0,,J. Crowder shooting personal FOUL (4 PF) (Antetokounmpo 2 FT),"[203109, 203507]",1610612756,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,2004,4,0,Antetokounmpo,203507,,,
447,527,PT08M51.00S,2021-07-15T03:05:00.8Z,4,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203507,,,1610612749,82,87,2021-07-15T03:05:30Z,5180000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (20 PTS),[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,20,,,,,,,,,,,,,,,,,,
